Epoch-4 results : Avg_Loss = 0.12436000257730484, fitness = 0.07663582475907996, best_fitness = 0.07663582475907996
Epoch-5 results : Avg_Loss = 0.12212999910116196, fitness = 0.09002243338185338, best_fitness = 0.09002243338185338
Epoch-6 results : Avg_Loss = 0.12195000052452087, fitness = 0.0989382807282101, best_fitness = 0.0989382807282101
Epoch-7 results : Avg_Loss = 0.11604999750852585, fitness = 0.10245195257557498, best_fitness = 0.10245195257557498
Epoch-8 results : Avg_Loss = 0.11535000056028366, fitness = 0.11969440388113285, best_fitness = 0.11969440388113285
Epoch-9 results : Avg_Loss = 0.11514999717473984, fitness = 0.12922682565424948, best_fitness = 0.12922682565424948
Epoch-10 results : Avg_Loss = 0.11602000147104263, fitness = 0.173543637351528, best_fitness = 0.173543637351528
Epoch-11 results : Avg_Loss = 0.10896000266075134, fitness = 0.18917245545961198, best_fitness = 0.18917245545961198
Epoch-12 results : Avg_Loss = 0.10972999781370163, fitness = 0.05953532742540974, best_fitness = 0.18917245545961198
Epoch-13 results : Avg_Loss = 0.10984999686479568, fitness = 0.262162750977347, best_fitness = 0.262162750977347
Epoch-14 results : Avg_Loss = 0.10664000362157822, fitness = 0.10977979925855241, best_fitness = 0.262162750977347
Epoch-15 results : Avg_Loss = 0.10927999764680862, fitness = 0.2200756605297976, best_fitness = 0.262162750977347
Epoch-16 results : Avg_Loss = 0.10002999752759933, fitness = 0.29482826242674937, best_fitness = 0.29482826242674937
Epoch-17 results : Avg_Loss = 0.10267999768257141, fitness = 0.2132243769296584, best_fitness = 0.29482826242674937
Epoch-18 results : Avg_Loss = 0.09922000020742416, fitness = 0.24910862859366456, best_fitness = 0.29482826242674937
Epoch-19 results : Avg_Loss = 0.09865999966859818, fitness = 0.30159563993893973, best_fitness = 0.30159563993893973
Epoch-20 results : Avg_Loss = 0.09599000215530396, fitness = 0.21803298421392175, best_fitness = 0.30159563993893973
Epoch-21 results : Avg_Loss = 0.093469999730587, fitness = 0.18635093283501436, best_fitness = 0.30159563993893973
Epoch-22 results : Avg_Loss = 0.09380000084638596, fitness = 0.23658834720558775, best_fitness = 0.30159563993893973
Epoch-23 results : Avg_Loss = 0.0873199999332428, fitness = 0.46320357909516013, best_fitness = 0.46320357909516013
Epoch-24 results : Avg_Loss = 0.08947999775409698, fitness = 0.15849081616828956, best_fitness = 0.46320357909516013
Epoch-25 results : Avg_Loss = 0.09379000216722488, fitness = 0.3050103784920881, best_fitness = 0.46320357909516013
Epoch-26 results : Avg_Loss = 0.0926700010895729, fitness = 0.3402251570489202, best_fitness = 0.46320357909516013
Epoch-27 results : Avg_Loss = 0.09108000248670578, fitness = 0.3174036870442629, best_fitness = 0.46320357909516013
Epoch-28 results : Avg_Loss = 0.08861000090837479, fitness = 0.2685549278724497, best_fitness = 0.46320357909516013
Epoch-29 results : Avg_Loss = 0.08754999935626984, fitness = 0.21569130645250978, best_fitness = 0.46320357909516013
Epoch-30 results : Avg_Loss = 0.09646999835968018, fitness = 0.2169832913342071, best_fitness = 0.46320357909516013
